YYMMDDHHMI(KST),STN(ID),TA(C),WD(deg),WS(m/s),RN_DAY(mm),RN_HR1(mm),HM(%),PA(hPa),PS(hPa)
201709281200,114,23.1,258.0,1.1,0.0,0.0,45.1,991.6,1008.4
201709281300,114,23.4,258.7,3.0,0.0,0.0,34.5,991.0,1007.8
201709281400,114,23.2,265.7,2.9,0.0,0.0,28.7,990.7,1007.5
201709281500,114,23.0,268.9,3.0,0.0,0.0,22.5,990.8,1007.6
201709281600,114,22.7,244.7,2.6,0.0,0.0,22.0,990.6,1007.5
201709281700,114,21.6,248.8,3.1,0.0,0.0,28.7,990.8,1007.8
201709281800,114,19.9,241.9,2.8,0.0,0.0,32.8,991.5,1008.7
201709281900,114,18.2,231.8,3.1,0.0,0.0,37.2,992.5,1009.7
201709282000,114,17.2,234.9,2.9,0.0,0.0,42.1,993.4,1010.7
201709282100,114,16.3,219.1,1.4,0.0,0.0,48.8,994.2,1011.6
201709282200,114,15.8,218.1,0.9,0.0,0.0,51.7,994.7,1012.2
201709282300,114,15.1,209.8,1.3,0.0,0.0,55.3,995.2,1012.7
201709290000,114,14.6,241.6,1.9,0.0,0.0,49.6,995.7,1013.2
201709290100,114,13.5,237.3,1.4,0.0,0.0,46.4,996.5,1014.1
201709290200,114,12.4,231.6,0.6,0.0,0.0,52.3,997.2,1014.9
201709290300,114,10.7,0.0,0.0,0.0,0.0,67.7,997.7,1015.6
201709290400,114,10.1,0.0,0.0,0.0,0.0,68.6,997.9,1015.8
201709290500,114,9.5,0.0,0.0,0.0,0.0,70.8,998.1,1016.0
201709290600,114,9.0,0.0,0.0,0.0,0.0,73.0,999.0,1017.0
201709290700,114,8.5,0.0,0.0,0.0,0.0,80.2,999.7,1017.7
201709290800,114,10.7,19.8,0.8,0.0,0.0,68.5,1000.3,1018.2
201709290900,114,13.2,45.8,1.2,0.0,0.0,54.9,1000.6,1018.3
201709291000,114,15.4,48.6,1.0,0.0,0.0,39.7,1000.9,1018.5
201709291100,114,16.2,1.3,1.0,0.0,0.0,28.3,1000.9,1018.4
201709291200,114,16.8,347.8,1.1,0.0,0.0,22.3,1000.5,1018.0
201709291300,114,17.4,264.5,1.4,0.0,0.0,26.6,1000.1,1017.5
201709291400,114,19.1,230.5,2.0,0.0,0.0,23.6,999.8,1017.0
201709291500,114,18.9,194.2,1.9,0.0,0.0,23.5,999.5,1016.7
201709291600,114,19.3,236.0,2.1,0.0,0.0,23.9,999.4,1016.6
201709291700,114,18.4,212.5,1.8,0.0,0.0,27.1,999.3,1016.6
201709291800,114,17.7,184.1,1.5,0.0,0.0,31.1,999.9,1017.3
201709291900,114,15.9,124.7,0.9,0.0,0.0,44.4,1000.6,1018.2
201709292000,114,14.4,113.1,0.6,0.0,0.0,52.4,1001.0,1018.6
201709292100,114,13.5,98.9,1.0,0.0,0.0,57.5,1001.8,1019.5
201709292200,114,12.8,148.5,0.2,0.0,0.0,61.8,1002.2,1020.0
201709292300,114,12.1,43.2,0.7,0.0,0.0,65.9,1002.7,1020.5
201709300000,114,11.6,92.1,0.3,0.0,0.0,69.8,1002.7,1020.6
201709300100,114,11.3,28.3,0.6,0.0,0.0,71.2,1002.7,1020.6
201709300200,114,10.5,23.0,1.1,0.0,0.0,72.7,1003.0,1021.0
201709300300,114,10.1,344.2,1.3,0.0,0.0,75.8,1004.0,1022.0
201709300400,114,10.2,252.0,0.5,0.0,0.0,75.9,1004.0,1022.0
201709300500,114,10.1,0.0,0.0,0.0,0.0,77.6,1004.0,1022.0
201709300600,114,9.8,249.8,0.3,0.0,0.0,79.8,1004.6,1022.7
201709300700,114,10.1,288.9,0.9,0.0,0.0,79.1,1004.9,1023.0
201709300800,114,10.7,22.6,0.4,0.0,0.0,76.6,1005.8,1023.8
201709300900,114,13.9,291.5,0.2,0.0,0.0,62.7,1006.1,1023.8
201709301000,114,16.3,60.0,0.8,0.0,0.0,55.3,1006.1,1023.7
201709301100,114,19.0,0.0,0.0,0.0,0.0,49.1,1005.7,1023.0
201709301200,114,20.8,234.3,1.1,0.0,0.0,55.3,1005.1,1022.4
201709301300,114,21.8,230.2,1.3,0.0,0.0,51.3,1004.6,1021.8
201709301400,114,21.7,257.8,1.6,0.0,0.0,53.3,1004.2,1021.4
201709301500,114,22.5,281.1,1.3,0.0,0.0,50.8,1004.1,1021.2
201709301600,114,22.3,215.8,1.5,0.0,0.0,49.2,1004.0,1021.1
201709301700,114,22.1,228.9,0.6,0.0,0.0,51.5,1004.1,1021.3
201709301800,114,21.0,145.5,0.9,0.0,0.0,56.9,1003.6,1020.9
201709301900,114,18.8,114.6,0.1,0.0,0.0,66.7,1003.7,1021.0
201709302000,114,17.3,88.8,0.4,0.0,0.0,70.8,1004.2,1021.7
201709302100,114,16.6,103.1,1.2,0.0,0.0,71.8,1004.5,1022.0
201709302200,114,16.1,73.1,0.4,0.0,0.0,73.8,1004.7,1022.3
201709302300,114,15.1,0.0,0.0,0.0,0.0,79.6,1004.9,1022.6
201806010000,114,18.6,95.8,0.6,0.0,0.0,65.9,996.4,1013.6
201806010100,114,18.0,85.7,0.7,0.0,0.0,71.0,996.6,1013.9
201806010200,114,17.3,36.3,1.3,0.0,0.0,75.9,996.8,1014.1
201806010300,114,16.7,323.4,0.1,0.0,0.0,73.7,996.7,1014.1
201806010400,114,16.3,308.3,0.2,0.0,0.0,74.4,996.8,1014.2
201806010500,114,15.8,30.3,0.8,0.0,0.0,78.0,997.1,1014.6
201806010600,114,16.0,35.5,0.2,0.0,0.0,77.2,997.7,1015.2
201806010700,114,17.1,50.3,0.5,0.0,0.0,73.4,998.2,1015.6
201806010800,114,18.9,302.8,0.3,0.0,0.0,64.6,998.4,1015.6
201806010900,114,21.5,334.1,0.4,0.0,0.0,56.1,998.3,1015.4
201806011000,114,23.1,292.3,0.6,0.0,0.0,51.3,998.0,1015.0
201806011100,114,26.0,349.6,0.6,0.0,0.0,46.4,997.8,1014.7
201806011200,114,26.3,290.2,1.2,0.0,0.0,40.3,997.5,1014.3
201806011300,114,28.1,291.6,1.1,0.0,0.0,40.9,997.1,1013.8
201806011400,114,28.9,248.8,2.2,0.0,0.0,39.0,996.7,1013.3
201806011500,114,29.3,211.0,1.7,0.0,0.0,38.6,996.0,1012.6
201806011600,114,29.3,234.0,1.8,0.0,0.0,34.7,995.7,1012.3
201806011700,114,29.6,238.1,1.6,0.0,0.0,32.0,995.5,1012.0
201806011800,114,29.0,242.8,1.6,0.0,0.0,35.0,995.4,1012.0
201806011900,114,28.0,238.9,1.0,0.0,0.0,37.5,995.7,1012.4
201806012000,114,25.9,226.7,1.7,0.0,0.0,45.8,996.3,1013.1
201806012100,114,25.0,200.6,1.5,0.0,0.0,47.0,997.1,1014.0
201806012200,114,23.0,114.1,1.1,0.0,0.0,57.0,997.6,1014.6
201806012300,114,22.0,138.3,0.2,0.0,0.0,60.3,997.8,1014.9
201806020000,114,20.9,100.5,0.4,0.0,0.0,63.0,998.1,1015.3
201806020100,114,20.1,127.6,0.0,0.0,0.0,66.7,998.0,1015.2
201806020200,114,19.5,70.7,0.5,0.0,0.0,67.7,998.1,1015.2
201806020300,114,18.6,119.5,0.4,0.0,0.0,71.9,998.2,1015.4
201806020400,114,17.7,278.1,0.4,0.0,0.0,75.5,998.3,1015.6
201806020500,114,17.3,0.0,0.0,0.0,0.0,82.3,998.5,1015.9
201806020600,114,17.5,138.5,0.0,0.0,0.0,76.0,998.7,1016.1
201806020700,114,18.5,74.9,0.4,0.0,0.0,74.6,999.0,1016.3
201806020800,114,20.5,75.7,0.8,0.0,0.0,66.7,999.5,1016.7
201806020900,114,21.8,12.3,0.9,0.0,0.0,55.7,999.3,1016.4
201806021000,114,24.5,90.0,0.8,0.0,0.0,45.3,998.7,1015.5
201806021100,114,26.1,147.2,1.1,0.0,0.0,38.3,998.2,1015.1
201806021200,114,27.6,315.7,0.9,0.0,0.0,35.4,997.7,1014.4
201806021300,114,28.3,246.4,1.5,0.0,0.0,28.7,997.2,1013.9
201806021400,114,28.9,245.0,2.5,0.0,0.0,28.9,996.6,1013.2
201806021500,114,29.2,267.5,1.4,0.0,0.0,28.8,996.2,1012.8
201806021600,114,29.6,273.9,1.7,0.0,0.0,28.1,995.8,1012.3
201806021700,114,29.5,249.5,1.7,0.0,0.0,25.7,995.4,1011.9
201806021800,114,28.6,239.0,2.1,0.0,0.0,28.8,995.2,1011.8
201806021900,114,27.5,239.0,1.3,0.0,0.0,23.1,995.7,1012.4
201806022000,114,25.0,210.4,2.0,0.0,0.0,33.2,996.5,1013.4
201806022100,114,24.1,213.3,1.2,0.0,0.0,32.3,997.2,1014.0
201806022200,114,21.8,110.3,1.1,0.0,0.0,45.9,997.6,1014.7
201806022300,114,20.3,83.1,0.1,0.0,0.0,48.9,997.6,1014.8
201806030000,114,19.2,102.2,0.6,0.0,0.0,50.7,997.3,1014.5
201806030100,114,18.6,291.3,0.1,0.0,0.0,51.0,997.1,1014.3
201806030200,114,17.4,318.5,0.2,0.0,0.0,59.6,996.9,1014.2
201806030300,114,16.6,38.2,0.1,0.0,0.0,70.1,996.5,1013.9
201806030400,114,15.9,69.9,0.5,0.0,0.0,73.7,996.8,1014.3
201806030500,114,15.4,44.4,0.7,0.0,0.0,74.7,996.8,1014.3
201806030600,114,15.5,30.9,0.7,0.0,0.0,76.4,997.3,1014.8
201806030700,114,16.5,43.3,1.0,0.0,0.0,67.8,997.4,1014.8
201806030800,114,19.0,89.5,0.4,0.0,0.0,57.6,997.7,1014.9
201806030900,114,20.5,43.7,0.4,0.0,0.0,48.4,997.4,1014.6
201806031000,114,23.4,321.6,0.7,0.0,0.0,42.7,997.0,1013.9
201806031100,114,24.6,175.5,0.6,0.0,0.0,32.0,996.6,1013.4
201806031200,114,27.2,31.4,0.9,0.0,0.0,26.1,996.1,1012.8
201806031300,114,27.9,148.6,0.8,0.0,0.0,21.9,995.5,1012.2
201806031400,114,29.4,253.5,1.2,0.0,0.0,24.5,994.8,1011.3
201806031500,114,28.4,266.5,1.9,0.0,0.0,24.1,994.8,1011.4
201806031600,114,28.4,256.6,1.7,0.0,0.0,22.4,994.4,1011.0
201806031700,114,28.4,274.4,2.4,0.0,0.0,26.8,994.1,1010.7
201806031800,114,27.9,277.6,1.7,0.0,0.0,29.2,994.1,1010.7
201806031900,114,27.2,235.1,0.5,0.0,0.0,31.2,994.0,1010.7
201806032000,114,24.7,222.5,0.3,0.0,0.0,43.8,994.3,1011.2
201806032100,114,23.0,121.4,0.6,0.0,0.0,46.1,994.8,1011.7
201806032200,114,21.8,82.4,0.5,0.0,0.0,49.3,995.3,1012.3
201806032300,114,20.7,91.7,0.2,0.0,0.0,52.1,995.3,1012.4
201806040000,114,19.7,60.2,0.5,0.0,0.0,63.6,995.6,1012.8
201806040100,114,19.0,45.7,0.6,0.0,0.0,65.7,995.8,1013.0
201806040200,114,18.0,35.5,0.6,0.0,0.0,69.7,995.9,1013.2
201806040300,114,17.5,252.3,0.0,0.0,0.0,72.5,995.7,1013.0
201806040400,114,16.5,45.0,0.6,0.0,0.0,76.7,995.9,1013.3
201806040500,114,16.2,38.7,0.7,0.0,0.0,77.8,996.5,1013.9
201806040600,114,16.6,34.7,0.7,0.0,0.0,76.2,996.3,1013.7
201806040700,114,16.3,321.1,0.8,0.0,0.0,74.7,996.5,1013.9
201806040800,114,18.7,45.5,0.3,0.0,0.0,63.5,996.8,1014.0
201806040900,114,21.6,8.3,0.8,0.0,0.0,53.7,996.5,1013.6
201806041000,114,23.3,277.5,0.7,0.0,0.0,43.9,996.3,1013.2
201806041100,114,25.1,206.1,1.0,0.0,0.0,41.2,995.9,1012.8
201806041200,114,26.2,244.4,1.5,0.0,0.0,39.6,995.7,1012.5
201806041300,114,27.3,282.1,2.1,0.0,0.0,29.6,994.9,1011.6
201806041400,114,28.1,303.9,2.2,0.0,0.0,31.7,994.3,1010.9
201806041500,114,27.5,257.1,1.7,0.0,0.0,33.1,994.4,1011.1
201806041600,114,26.8,239.0,0.9,0.0,0.0,36.9,993.7,1010.4
201806041700,114,26.9,298.6,2.2,0.0,0.0,33.8,993.7,1010.4
201806041800,114,26.0,281.0,1.6,0.0,0.0,35.7,993.6,1010.4
201806041900,114,24.6,257.3,1.2,0.0,0.0,42.2,993.8,1010.5
201806042000,114,23.8,208.9,1.6,0.0,0.0,46.0,994.2,1011.0
201806042100,114,23.1,254.1,1.1,0.0,0.0,48.1,994.6,1011.5
201806042200,114,22.7,261.8,0.2,0.0,0.0,50.4,995.1,1012.0
201806042300,114,22.0,123.0,0.2,0.0,0.0,51.5,994.9,1011.9
201806050000,114,21.7,253.7,1.0,0.0,0.0,52.1,995.1,1012.1
201806050100,114,20.6,121.1,0.9,0.0,0.0,60.7,995.4,1012.6
201806050200,114,20.2,208.5,0.9,0.0,0.0,66.4,995.7,1012.9
201806050300,114,19.4,112.7,0.8,0.0,0.0,74.4,995.5,1012.6
201806050400,114,18.6,113.7,1.6,0.0,0.0,77.3,995.0,1012.2
201806050500,114,19.0,51.8,1.3,0.0,0.0,73.0,995.1,1012.2
201806050600,114,18.8,180.7,1.0,0.0,0.0,77.5,995.3,1012.5
201806050700,114,19.4,204.3,1.0,0.0,0.0,72.1,995.4,1012.5
201806050800,114,20.1,233.8,0.6,0.0,0.0,65.9,995.8,1013.0
201806050900,114,21.7,297.8,0.6,0.0,0.0,61.5,995.5,1012.5
201806051000,114,23.3,65.3,0.8,0.0,0.0,53.3,995.4,1012.3
201806051100,114,25.0,245.1,1.4,0.0,0.0,47.9,995.1,1012.0
201806051200,114,26.2,200.8,1.6,0.0,0.0,39.0,994.5,1011.3
201806051300,114,25.9,267.5,1.9,0.0,0.0,44.4,993.9,1010.7
201806051400,114,27.7,219.3,2.4,0.0,0.0,39.8,993.3,1009.9
201806051500,114,27.8,244.9,2.4,0.0,0.0,33.7,993.0,1009.6
201806051600,114,28.0,199.7,1.3,0.0,0.0,31.4,992.7,1009.3
201806051700,114,27.6,232.3,1.5,0.0,0.0,34.8,992.5,1009.1
201806051800,114,27.2,257.0,1.5,0.0,0.0,35.4,992.5,1009.2
201806051900,114,26.5,232.9,1.5,0.0,0.0,40.4,992.8,1009.5
201806052000,114,25.0,190.1,1.9,0.0,0.0,49.1,993.1,1010.0
201806052100,114,23.7,124.8,0.6,0.0,0.0,55.0,993.8,1010.6
201806052200,114,23.6,212.9,1.1,0.0,0.0,56.0,994.3,1011.1
201806052300,114,21.8,99.9,0.8,0.0,0.0,62.5,994.4,1011.4
201806060000,114,21.3,84.1,0.4,0.0,0.0,64.4,994.0,1011.1
201806060100,114,20.6,110.9,1.1,0.0,0.0,66.3,994.1,1011.2
201806060200,114,19.8,101.3,0.4,0.0,0.0,68.2,994.0,1011.2
